effective_date,ticker,universe,source_pdf
2021-03-31,BEL.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,BEML.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,BERGEPAINT.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,BHARATFORG.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,BHARTIARTL.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,BHEL.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,BIOCON.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,BIRLACORPN.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,BLUEDART.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,BLUESTARCO.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,BOSCHLTD.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,BPCL.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,BRITANNIA.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,BSOFT.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,CADILAHC.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,CAMS.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,CANBK.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,CANFINHOME.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,CAPLIPOINT.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,CARBORUNIV.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,CASTROLIND.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,CDSL.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,CEATLTD.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,CENTURYPLY.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,CENTURYTEX.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,CESC.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,CHAMBLFERT.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,CHOLAFIN.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,CIPLA.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,COALINDIA.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,COCHINSHIP.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,COFORGE.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,COLPAL.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,CONCOR.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,COROMANDEL.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,CROMPTON.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,CSBBANK.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,CUB.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,CUMMINSIND.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,CYIENT.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,DABUR.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,DALBHARAT.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,DBL.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,DEEPAKNTR.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,DELTACORP.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,DHANI.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,DIVISLAB.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,DIXON.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,DLF.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,DMART.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,DRREDDY.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,EDELWEISS.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,EICHERMOT.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,EIDPARRY.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,EMAMILTD.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,ENDURANCE.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,ENGINERSIN.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,ESCORTS.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,EXIDEIND.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,FDC.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
